2026-04-21 19:30:55,311 src.training.trainer INFO: Epoch 56/200 (61.0s) - train_loss: 3.0778, val_loss: 3.0530, R@1_a2c: 0.041, R@5_a2c: 0.270, temp: 0.0713
2026-04-21 19:31:59,424 src.training.trainer INFO: Epoch 57/200 (60.9s) - train_loss: 3.0602, val_loss: 3.0960, R@1_a2c: 0.081, R@5_a2c: 0.243, temp: 0.0713
2026-04-21 19:33:03,934 src.training.trainer INFO: Epoch 58/200 (61.4s) - train_loss: 3.0663, val_loss: 3.0817, R@1_a2c: 0.054, R@5_a2c: 0.250, temp: 0.0714
2026-04-21 19:34:08,377 src.training.trainer INFO: Epoch 59/200 (61.4s) - train_loss: 3.0345, val_loss: 3.0938, R@1_a2c: 0.054, R@5_a2c: 0.176, temp: 0.0714
2026-04-21 19:35:12,768 src.training.trainer INFO: Epoch 60/200 (61.2s) - train_loss: 3.0615, val_loss: 3.0060, R@1_a2c: 0.081, R@5_a2c: 0.324, temp: 0.0714
2026-04-21 19:36:17,314 src.training.trainer INFO: Epoch 61/200 (61.5s) - train_loss: 3.0357, val_loss: 3.0857, R@1_a2c: 0.061, R@5_a2c: 0.209, temp: 0.0714
2026-04-21 19:37:21,826 src.training.trainer INFO: Epoch 62/200 (61.4s) - train_loss: 3.0441, val_loss: 3.0206, R@1_a2c: 0.054, R@5_a2c: 0.277, temp: 0.0714
2026-04-21 19:38:26,101 src.training.trainer INFO: Epoch 63/200 (61.2s) - train_loss: 3.0529, val_loss: 3.0447, R@1_a2c: 0.081, R@5_a2c: 0.297, temp: 0.0714
2026-04-21 19:39:31,516 src.training.trainer INFO: Epoch 64/200 (62.4s) - train_loss: 3.0673, val_loss: 3.0230, R@1_a2c: 0.101, R@5_a2c: 0.311, temp: 0.0715
2026-04-21 19:40:35,553 src.training.trainer INFO: Epoch 65/200 (60.9s) - train_loss: 3.0436, val_loss: 3.0375, R@1_a2c: 0.101, R@5_a2c: 0.270, temp: 0.0715
2026-04-21 19:41:40,011 src.training.trainer INFO: Epoch 66/200 (61.5s) - train_loss: 3.0312, val_loss: 3.0170, R@1_a2c: 0.074, R@5_a2c: 0.277, temp: 0.0715
2026-04-21 19:42:45,555 src.training.trainer INFO: Epoch 67/200 (62.5s) - train_loss: 3.0055, val_loss: 3.0157, R@1_a2c: 0.041, R@5_a2c: 0.311, temp: 0.0715
2026-04-21 19:43:50,397 src.training.trainer INFO: Epoch 68/200 (61.8s) - train_loss: 3.0151, val_loss: 3.0285, R@1_a2c: 0.047, R@5_a2c: 0.284, temp: 0.0715
2026-04-21 19:44:55,729 src.training.trainer INFO: Epoch 69/200 (62.3s) - train_loss: 3.0019, val_loss: 3.1367, R@1_a2c: 0.027, R@5_a2c: 0.216, temp: 0.0715
2026-04-21 19:45:59,621 src.training.trainer INFO: Epoch 70/200 (60.9s) - train_loss: 3.0033, val_loss: 3.0267, R@1_a2c: 0.095, R@5_a2c: 0.304, temp: 0.0715
2026-04-21 19:47:04,841 src.training.trainer INFO: Epoch 71/200 (62.1s) - train_loss: 2.9996, val_loss: 3.0857, R@1_a2c: 0.047, R@5_a2c: 0.230, temp: 0.0716
2026-04-21 19:48:10,537 src.training.trainer INFO: Epoch 72/200 (62.7s) - train_loss: 3.0184, val_loss: 3.0296, R@1_a2c: 0.054, R@5_a2c: 0.277, temp: 0.0716
2026-04-21 19:49:14,452 src.training.trainer INFO: Epoch 73/200 (60.8s) - train_loss: 2.9957, val_loss: 3.0568, R@1_a2c: 0.074, R@5_a2c: 0.291, temp: 0.0716
2026-04-21 19:50:18,648 src.training.trainer INFO: Epoch 74/200 (61.2s) - train_loss: 3.0299, val_loss: 3.0027, R@1_a2c: 0.115, R@5_a2c: 0.297, temp: 0.0716
2026-04-21 19:51:22,843 src.training.trainer INFO: Epoch 75/200 (61.2s) - train_loss: 3.0014, val_loss: 3.0274, R@1_a2c: 0.047, R@5_a2c: 0.284, temp: 0.0716
2026-04-21 19:52:27,582 src.training.trainer INFO: Epoch 76/200 (61.8s) - train_loss: 3.0133, val_loss: 3.0132, R@1_a2c: 0.047, R@5_a2c: 0.230, temp: 0.0716
2026-04-21 19:53:32,199 src.training.trainer INFO: Epoch 77/200 (61.6s) - train_loss: 2.9989, val_loss: 2.9908, R@1_a2c: 0.081, R@5_a2c: 0.365, temp: 0.0716
2026-04-21 19:54:36,583 src.training.trainer INFO: Epoch 78/200 (61.4s) - train_loss: 2.9973, val_loss: 3.0277, R@1_a2c: 0.068, R@5_a2c: 0.304, temp: 0.0716
2026-04-21 19:55:40,245 src.training.trainer INFO: Epoch 79/200 (60.7s) - train_loss: 2.9979, val_loss: 3.0010, R@1_a2c: 0.101, R@5_a2c: 0.324, temp: 0.0716
